"Elapsed Time","DESKTOP-R8HE1TR, LoadTest:Scenario, User Load, _Total","DESKTOP-R8HE1TR, LoadTest:Page, Pages/Sec, _Total","DESKTOP-R8HE1TR, LoadTest:Page, Avg. Page Time, _Total"
"00:00","","",""
"00:15","11","11,93333","0,3378883"
"00:30","21","18,06667","0,9400148"
"00:45","41","19,66667","1,623444"
"01:00","51","21,13333","2,191524"
"01:15","71","26,46667","2,334776"
"01:30","81","24,4","3,106658"
"01:45","101","21,26667","3,915702"
"02:00","111","25,73333","4,307531"
"02:15","131","25,53333","4,589133"
"02:30","141","25,13333","5,209888"
"02:45","151","25,75752","5,529465"
